idboleta,fac00,area,region,r004,pobreza,ingpe,r3213a,r32309a,r32309b,INTERNET_SI_NO,COMPUTADORA_SI_NO,es_outlier_ingreso,INGPE_LIMPIO,BRECHA_DIGITAL,LOG_INGPE,INGPE_ESCALADO,PC_ESCALADO
347464.0,273.88409941183676,Rural,Occidental,Ahuachapán,No pobre,125.0,No,No,0.0,0.0,0.0,False,125.0,1.0,4.836281906951478,-0.3206582558810711,0.0
347465.0,282.24326341331545,Rural,Occidental,Ahuachapán,Pobreza relativa,68.0,No,Sí,1.0,0.0,1.0,False,68.0,1.0,4.23410650459726,-0.5892379639773357,1.0
347466.0,259.9521594093722,Rural,Occidental,Ahuachapán,No pobre,166.52666666666667,No,Sí,3.0,0.0,1.0,False,166.52666666666667,1.0,5.121142542573612,-0.1249877293627515,3.0
347467.0,232.08827940444306,Rural,Occidental,Ahuachapán,No pobre,173.21,No,Sí,1.0,0.0,1.0,False,173.21,1.0,5.160261468052068,-0.09349636592807249,1.0
347468.0,282.24326341331545,Rural,Occidental,Ahuachapán,No pobre,196.166,No,No,0.0,0.0,0.0,False,196.166,1.0,5.284046013510465,0.01467057756417047,0.0
347469.0,259.9521594093722,Rural,Occidental,Ahuachapán,No pobre,416.6666666666667,Sí,Sí,1.0,1.0,1.0,False,416.6666666666667,0.0,6.034683666227958,1.0536531159565405,1.0
347470.0,282.24326341331545,Rural,Occidental,Ahuachapán,No pobre,316.216,No,Sí,1.0,0.0,1.0,False,316.216,1.0,5.759582929850487,0.5803371382125314,1.0
347471.0,259.9521594093722,Rural,Occidental,Ahuachapán,No pobre,173.33333333333334,Sí,No,0.0,1.0,0.0,False,173.33333333333334,1.0,5.160969175396813,-0.09291522854798115,0.0
347472.0,287.81603941430126,Rural,Occidental,Ahuachapán,No pobre,115.55666666666667,No,Sí,1.0,0.0,1.0,False,115.55666666666667,1.0,4.758377563903105,-0.3651545314972534,1.0
347474.0,294.78200941553354,Rural,Occidental,Ahuachapán,No pobre,103.23,Sí,Sí,1.0,1.0,1.0,False,103.23,0.0,4.646599995751231,-0.4232368566750304,1.0
351133.0,170.07311419935985,Rural,Occidental,Ahuachapán,No pobre,100.0,No,Sí,1.0,0.0,1.0,False,100.0,1.0,4.61512051684126,-0.4384563734671521,1.0
351134.0,161.84060419790356,Rural,Occidental,Ahuachapán,No pobre,142.42000000000002,No,No,0.0,0.0,0.0,False,142.42000000000002,1.0,4.965777388454429,-0.2385765275470898,0.0
351135.0,186.53813420227252,Rural,Occidental,Ahuachapán,No pobre,260.5,No,No,0.0,0.0,0.0,False,260.5,1.0,5.566434283504978,0.3178075414354879,0.0
351137.0,170.07311419935985,Rural,Occidental,Ahuachapán,No pobre,146.66666666666666,No,No,0.0,0.0,0.0,False,146.66666666666666,1.0,4.994957481377026,-0.2185665539731343,0.0
351138.0,153.6080941964472,Rural,Occidental,Ahuachapán,No pobre,143.53666666666666,No,Sí,1.0,0.0,1.0,False,143.53666666666666,1.0,4.973533223922013,-0.23331487829491163,1.0
351139.0,153.6080941964472,Rural,Occidental,Ahuachapán,Pobreza relativa,63.89000000000001,No,No,0.0,0.0,0.0,False,63.89000000000001,1.0,4.1726935286330775,-0.6086039745084875,0.0
351140.0,166.78011019877735,Rural,Occidental,Ahuachapán,No pobre,210.0,Sí,Sí,3.0,1.0,1.0,False,210.0,0.0,5.351858133476067,0.07985534391160426,3.0
